K,Tamanho da imagem em KB,Quantidade de cores,Índice de similaridade
0,13003.51,421866,1.00
12,4398.67,12,0.74
8,3298.74,8,0.71
6,2699.70,6,0.67
5,2431.45,5,0.67
4,2214.99,4,0.64
3,1617.20,3,0.60
2,750.47,2,0.53
