K,Tamanho da imagem em KB,Quantidade de cores,Índice de similaridade
0,6542.89,200494,1.00
12,2691.87,12,0.82
8,1972.24,8,0.79
6,1532.39,6,0.77
5,1475.66,5,0.77
4,1199.80,4,0.75
3,809.09,3,0.72
2,448.67,2,0.69
