K,Tamanho da imagem em KB,Quantidade de cores,Índice de similaridade
0,7918.60,196182,1.00
12,3131.23,12,0.80
8,2340.52,8,0.76
6,1674.70,6,0.69
5,1365.48,5,0.69
4,1257.56,4,0.67
3,716.50,3,0.63
2,670.52,2,0.57
