K,Tamanho da imagem em KB,Quantidade de cores,Índice de similaridade
0,7759.48,250686,1.00
12,2039.70,12,0.82
8,1646.37,8,0.80
6,956.54,6,0.76
5,758.70,5,0.75
4,511.06,4,0.73
3,501.78,3,0.72
2,281.84,2,0.63
