K,Tamanho da imagem em KB,Quantidade de cores,Índice de similaridade
0,6895.93,312220,1.00
12,2029.01,12,0.83
8,1697.87,8,0.80
6,1120.83,6,0.79
5,878.39,5,0.77
4,803.46,4,0.77
3,580.32,3,0.76
2,303.65,2,0.75
